# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.8226807457559536,1.9797430049225668,3.23322521568128,25.020202849349854,2.4680422372678614,2.9999999999999254,0.3577291503303237,45.52730039038598,50.76566527435386,210.143661293211
 0.8271060562780113,1.9896483190510752,3.2378957781954343,25.24485668204771,2.481318168834034,2.999999999999975,0.35676487109474286,46.457251345850544,50.90021708960461,212.93352240859787
 0.8315001410032606,1.9995180420292944,3.2425967391668427,25.46851654847302,2.4945004230097823,2.9999999999999747,0.3558320374114382,47.39289928415971,51.03593102188154,215.710817058539
 0.8358633768591727,2.0093519074324466,3.247327598562078,25.691198352647547,2.507590130577518,2.999999999999949,0.35493099209766615,48.33409645565761,51.172965315338615,218.47497805036957
 0.8401961283128625,2.019149648835754,3.2520878563477136,25.9129180925072,2.5205883849385877,3.0000000000000258,0.3540620851251021,49.2806942344002,51.31147829475984,221.22544201291737
 0.8444987478423518,2.028910999814439,3.2568770124903232,26.1336918611052,2.5334962435270554,2.9999999999999485,0.3532256739261597,50.23254314162488,51.45162851671054,223.96164932259134
 0.8487715763852055,2.0386356939437227,3.2616945669564807,26.353535848007706,2.5463147291556165,3.0,0.3524221242908085,51.18949286935504,51.59357491929484,226.68304402932054
 0.8530149437658547,2.0483234647988273,3.266540019712759,26.572466340871323,2.5590448312975638,2.999999999999895,0.3516518107658829,52.151392304135335,51.73747698069614,229.38907378252432
 0.8572291691028274,2.0579740459549756,3.271412870725731,26.790499727234412,2.5716875073084817,2.999999999999974,0.3509151174074552,53.11808955089435,51.88349487325798,232.0791897567205
 0.8614145611970275,2.0675871709873888,3.276312619961971,27.007652496496423,2.584243683591082,2.999999999999947,0.3502124383363211,54.08943195693049,52.03178960981985,234.75284657695187
 0.865571418902126,2.0771625734712886,3.281238767388051,27.223941242046063,2.596714256706377,2.9999999999999734,0.3495441783082904,55.065266136017684,52.18252322749718,237.40950224353344
 0.8697000314780611,2.0866999869818983,3.2861908129705464,27.439382663687134,2.6091000944341824,3.000000000000027,0.34891075365393237,56.04543799262683,52.272957769110725,239.7601096589786
 0.873805613324151,2.096199145094439,3.2911682566760287,27.653993570145413,2.615115627803014,1.4652084879419842,0.34831259263559666,57.029792746259254,52.121398484303505,240.9565516996109
 0.877907523824851,2.105659781384133,3.2961705984710727,27.867790881899353,2.6028098963009136,-3.0,0.34775013636449714,58.01817495588837,51.79236144673445,241.27218319477052
 0.8820201139107797,2.1150816294262023,3.301197338322251,28.080791634112032,2.5904721260431276,-3.0,0.34722383948629953,59.01042854450555,51.46884083598833,241.54654501071607
 0.8861434114690905,2.1244644227958687,3.3062479761961368,28.293012979860144,2.5781022333681953,-3.0,0.34673417078726015,60.006396823766636,51.15083033762285,241.7798134986288
 0.8902774443335575,2.133807895068354,3.311322012059304,28.50447219352065,2.565700134774794,-3.0000000000000537,0.3462816142181474,61.00592251873467,50.83832412926549,241.97216983939623
 0.894422240301815,2.1431117798188812,3.316418945878326,28.715186674404602,2.5532657468700215,-2.9999999999999734,0.34586666941480426,62.008847792715535,50.53131692898626,242.12379996064288
 0.8985778271529641,2.1523758106226714,3.321538277619776,28.92517395060594,2.5407989863165743,-3.0000000000000266,0.34548985267210364,63.01501427218222,50.22980404673406,242.23489445472302
 0.9027442326655694,2.1615997210549467,3.3266795072502275,29.134451683083338,2.528299769778758,-3.00000000000008,0.34515169781415994,64.02426307178374,49.933781430920355,242.3056484981965
 0.9069214846360651,2.17078324469093,3.3318421347362532,29.34303766995996,2.5157680138672704,-3.00000000000008,0.3448527568852995,65.03643481943509,49.643245729268116,242.3362617721569
 0.911109610897594,2.1799261151058418,3.3370256600444277,29.550949851106235,2.503203635082684,-3.0,0.3445936012776336,66.05136968148379,49.35819431849838,242.32693838388846
 0.9153086393393017,2.189028065874906,3.342229583141324,29.758206312880947,2.4906065497575605,-3.000000000000053,0.34437482254766905,67.0689073879497,49.07862538158279,242.27788678951256
 0.9195185979261111,2.1980888305733424,3.347453403993515,29.96482529323494,2.4779766739971323,-3.0,0.34419703329240947,68.08888725783324,48.80453793225845,242.18931971759025
